District,County,Sub-County,Parish,Village
Butaleja,Bunyole East County,Himutu,Kangalaba,VillageBwirya
Butaleja,Bunyole East County,Himutu,Kangalaba,VillageKangalaba
Butaleja,Bunyole East County,Himutu,Kangalaba,VillageNabigo
Butaleja,Bunyole East County,Himutu,Kangalaba,VillageNalusaga
Butaleja,Bunyole East County,Himutu,Kangalaba,VillageNalusaga Township
Butaleja,Bunyole East County,Himutu,Kanyenya,VillageBugwe
Butaleja,Bunyole East County,Himutu,Kanyenya,VillageKanyenya
Butaleja,Bunyole East County,Himutu,Kanyenya,VillageKanyenya B
Butaleja,Bunyole East County,Himutu,Kanyenya,VillageMasulula
Butaleja,Bunyole East County,Himutu,Kanyenya,VillageMasulula B
Butaleja,Bunyole East County,Himutu,Namulo,VillageBuguli
Butaleja,Bunyole East County,Himutu,Namulo,VillageMuninge
Butaleja,Bunyole East County,Himutu,Namulo,VillageNamulo
Butaleja,Bunyole East County,Himutu,Namulo,VillageNanjere
Butaleja,Bunyole East County,Himutu,Tindi,VillageBubago
Butaleja,Bunyole East County,Himutu,Tindi,VillageDoho
Butaleja,Bunyole East County,Himutu,Tindi,VillageMahindu
Butaleja,Bunyole East County,Himutu,Tindi,VillageManafa
Butaleja,Bunyole East County,Himutu,Tindi,VillageTindi
Butaleja,Bunyole East County,Himutu,Wangale,VillageBuhabambwe
Butaleja,Bunyole East County,Himutu,Wangale,VillageMagengere
Butaleja,Bunyole East County,Himutu,Wangale,VillageNaluma
Butaleja,Bunyole East County,Himutu,Wangale,VillageWangale
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageBuseta
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageChadongo B
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageKavule
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageLubanga
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageMawanga
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageMbiko
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageNambole
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageNamusita
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageNatalo
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageNsyambya
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageSupa
Butaleja,Bunyole East County,Kachonga,Chadongo,VillageTangi
Butaleja,Bunyole East County,Kachonga,Namajji,VillageBukairi
Butaleja,Bunyole East County,Kachonga,Namajji,VillageNamafafa A
Butaleja,Bunyole East County,Kachonga,Namajji,VillageNamafafa B
Butaleja,Bunyole East County,Kachonga,Namawa,VillageBulumba
Butaleja,Bunyole East County,Kachonga,Namawa,VillageHagola
Butaleja,Bunyole East County,Kachonga,Namawa,VillageMirembe
Butaleja,Bunyole East County,Kachonga,Namawa,VillageMukwano
Butaleja,Bunyole East County,Kachonga,Namawa,VillageMulago
Butaleja,Bunyole East County,Kachonga,Namawa,VillageNabiganda C
Butaleja,Bunyole East County,Kachonga,Namawa,VillageNamataala
Butaleja,Bunyole East County,Kachonga,Namawa,VillageNamawa  A
Butaleja,Bunyole East County,Kachonga,Namawa,VillageNamawa  B
Butaleja,Bunyole East County,Kachonga,Namawa,VillageNtinda
Butaleja,Bunyole East County,Kachonga,Namawa,VillageOtahajehadamba
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageBumango
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageDoho Hibira A
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageDoho Hibira B
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageDunghuli
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageMuhula  Doho
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageMuhula  Kagondo
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageNahigogola
Butaleja,Bunyole East County,Kachonga,Namunasa,VillageNamujugume
Butaleja,Bunyole East County,Mazimasa,Doho,VillageDoho A
Butaleja,Bunyole East County,Mazimasa,Doho,VillageDoho B
Butaleja,Bunyole East County,Mazimasa,Doho,VillageKisubi
Butaleja,Bunyole East County,Mazimasa,Doho,VillageKoli
Butaleja,Bunyole East County,Mazimasa,Doho,VillageMagugu
Butaleja,Bunyole East County,Mazimasa,Doho,VillageMuhunghwa
Butaleja,Bunyole East County,Mazimasa,Doho,VillageMuhuyu
Butaleja,Bunyole East County,Mazimasa,Doho,VillageNamehere
Butaleja,Bunyole East County,Mazimasa,Doho,VillageNamunasa
Butaleja,Bunyole East County,Mazimasa,Doho,VillageWapala
Butaleja,Bunyole East County,Mazimasa,Kapisa,VillageKapisa
Butaleja,Bunyole East County,Mazimasa,Kapisa,VillageKapisa Central
Butaleja,Bunyole East County,Mazimasa,Kapisa,VillageManafa
Butaleja,Bunyole East County,Mazimasa,Kapisa,VillageMuhoho
Butaleja,Bunyole East County,Mazimasa,Kapisa,VillageMuhumbanya
Butaleja,Bunyole East County,Mazimasa,Kapisa,VillageNahiliga
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageBulomi
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageLubembe
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageMagoha
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageNahanja
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageNahasalagala
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageNaluhoola
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageNamatooke
Butaleja,Bunyole East County,Mazimasa,Lubembe,VillageNanderema
Butaleja,Bunyole East County,Mazimasa,Mazimasa,VillageBudiba
Butaleja,Bunyole East County,Mazimasa,Mazimasa,VillageBugalo
Butaleja,Bunyole East County,Mazimasa,Mazimasa,VillageBugalo Central
Butaleja,Bunyole East County,Mazimasa,Mazimasa,VillageNakabale
Butaleja,Bunyole East County,Mazimasa,Muyago,VillageKampala
Butaleja,Bunyole East County,Mazimasa,Muyago,VillageMiyaya
Butaleja,Bunyole East County,Mazimasa,Muyago,VillageNamugongo
Butaleja,Bunyole East County,Mazimasa,Muyago,VillageNamuseru
Butaleja,Bunyole East County,Mazimasa,Muyago,VillageScheme View
Butaleja,Bunyole East County,Mazimasa,Muyago,VillageWegga
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageBukairi
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageMuhuyu
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNabiganda   B
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNabiganda  Central
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNabiganda ''a''
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNabiganda Township
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNakawa
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNamajji A
Butaleja,Bunyole East County,Nabiganda Town Council,Nabiganda Ward,VillageNamajji B
Butaleja,Bunyole East County,Nabiganda Town Council,Nakabi Ward,"VillageMazimasa ""a"""
Butaleja,Bunyole East County,Nabiganda Town Council,Nakabi Ward,VillageMazimasa Central
Butaleja,Bunyole East County,Nabiganda Town Council,Nakabi Ward,VillageNakabi
Butaleja,Bunyole East County,Nabiganda Town Council,Nakabi Ward,VillageNakabi Central
Butaleja,Bunyole East County,Nabiganda Town Council,Nampologoma Ward,VillageGaba
Butaleja,Bunyole East County,Nabiganda Town Council,Nampologoma Ward,VillageKyauni
Butaleja,Bunyole East County,Nabiganda Town Council,Nampologoma Ward,VillageNampologoma Central
Butaleja,Bunyole East County,Nabiganda Town Council,Nampologoma Ward,VillageNampologoma Main
Butaleja,Bunyole East County,Nabiganda Town Council,Nampologoma Ward,VillageNamunasa
Butaleja,Bunyole East County,Nabiganda Town Council,Nampologoma Ward,VillageTriangle
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageBuseta
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageChadongo A
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageGombo
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageHagola
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageMirembe
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageNabiganda  Central
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageNabiganda C
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageNabiganda Upper
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageSupa
Butaleja,Bunyole East County,Nabiganda Town Council,Namunswa Ward,VillageTangi
Butaleja,Bunyole East County,Nabiganda Town Council,Namuseru Ward,VillageKanghanyi
Butaleja,Bunyole East County,Nabiganda Town Council,Namuseru Ward,VillageMuyago
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageBujogo
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageButagwa
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageKapisa B Township
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageManafa Central
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageNambili
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageNasemenye
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageNasemenye Township
Butaleja,Bunyole East County,Nabiganda Town Council,Nasemenye Ward,VillageNekulile
Butaleja,Bunyole East County,Naweyo,Kachekere,VillageHamera
Butaleja,Bunyole East County,Naweyo,Kachekere,VillageKachekere
Butaleja,Bunyole East County,Naweyo,Kachekere,VillageLuhola East
Butaleja,Bunyole East County,Naweyo,Kachekere,VillageLuhola West
Butaleja,Bunyole East County,Naweyo,Kachekere,VillageLwoba
Butaleja,Bunyole East County,Naweyo,Kachekere,VillageNakabaale
Butaleja,Bunyole East County,Naweyo,Kachonga,VillageBudira
Butaleja,Bunyole East County,Naweyo,Kachonga,VillageBusangisa
Butaleja,Bunyole East County,Naweyo,Kachonga,VillageKachonga
Butaleja,Bunyole East County,Naweyo,Kachonga,VillageMilembe
Butaleja,Bunyole East County,Naweyo,Kachonga,VillageNamugongo
Butaleja,Bunyole East County,Naweyo,Kachonga,VillageNamukukulu
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageKaiti A
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageKaiti B
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageKaiti Central
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageMpolyabigere A
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageMpolyabigere B
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageNahamya  A
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageNahamya  B
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageNahamya Central
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageNakabaale
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageNamataala
Butaleja,Bunyole East County,Naweyo,Kaiti,VillageNyanza
Butaleja,Bunyole East County,Naweyo,Nambale,VillageBuluba
Butaleja,Bunyole East County,Naweyo,Nambale,VillageBuyerelo
Butaleja,Bunyole East County,Naweyo,Nambale,VillageMuyenga
Butaleja,Bunyole East County,Naweyo,Nambale,VillageNambale
Butaleja,Bunyole East County,Naweyo,Nasinyi,VillageMaluku A
Butaleja,Bunyole East County,Naweyo,Nasinyi,VillageMaluku B
Butaleja,Bunyole East County,Naweyo,Nasinyi,VillageNakasanga
Butaleja,Bunyole East County,Naweyo,Nasinyi,VillageNasinyi  A
Butaleja,Bunyole East County,Naweyo,Nasinyi,VillageNasinyi  B
Butaleja,Bunyole East County,Naweyo,Nasinyi,VillageNasinyi  Central
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageHighland A
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageHighland B
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageKuwaiti A
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageKuwaiti B
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageMpolyabigere
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageMutongo
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageNaweyo A
Butaleja,Bunyole East County,Naweyo,Naweyo,VillageNaweyo B
Butaleja,Bunyole West County,Budumba,Budumba,VillageBudumba
Butaleja,Bunyole West County,Budumba,Budumba,VillageDumanghale
Butaleja,Bunyole West County,Budumba,Budumba,VillageNamujiba
Butaleja,Bunyole West County,Budumba,Budumba,VillageNanjuli
Butaleja,Bunyole West County,Budumba,Budumba,VillageNapindo
Butaleja,Bunyole West County,Budumba,Budumba,VillageNasaga
Butaleja,Bunyole West County,Budumba,Budusu,VillageBudusu
Butaleja,Bunyole West County,Budumba,Budusu,VillageBuhanga
Butaleja,Bunyole West County,Budumba,Budusu,VillageDumbu
Butaleja,Bunyole West County,Budumba,Budusu,VillageEriga
Butaleja,Bunyole West County,Budumba,Budusu,VillageHisoho
Butaleja,Bunyole West County,Budumba,Budusu,VillageHyabalanghi
Butaleja,Bunyole West County,Budumba,Budusu,VillageManghoma
Butaleja,Bunyole West County,Budumba,Budusu,VillageManghundo
Butaleja,Bunyole West County,Budumba,Bunawale,VillageBugoola
Butaleja,Bunyole West County,Budumba,Bunawale,VillageBuhadanya
Butaleja,Bunyole West County,Budumba,Bunawale,VillageBuhwaya
Butaleja,Bunyole West County,Budumba,Bunawale,VillageBulinda
Butaleja,Bunyole West County,Budumba,Bunawale,VillageBunawale
Butaleja,Bunyole West County,Budumba,Bunawale,VillageBuwenge
Butaleja,Bunyole West County,Budumba,Bunawale,VillageGombe
Butaleja,Bunyole West County,Budumba,Bunawale,VillageIrundu
Butaleja,Bunyole West County,Budumba,Bunawale,VillageNamalenyo
Butaleja,Bunyole West County,Budumba,Bunawale,VillageNawandyo
Butaleja,Bunyole West County,Budumba,Bunawale,VillageNawonya
Butaleja,Bunyole West County,Budumba,Bunawale,VillageTayiro
Butaleja,Bunyole West County,Budumba,Bunghanga,VillageBugolola A
Butaleja,Bunyole West County,Budumba,Bunghanga,VillageBugolola B
Butaleja,Bunyole West County,Budumba,Bunghanga,VillageBunghanga
Butaleja,Bunyole West County,Budumba,Bunghanga,VillageHagaalo
Butaleja,Bunyole West County,Budumba,Bunghanga,VillageKoola
Butaleja,Bunyole West County,Budumba,Bunghanga,VillageLwamboga
Butaleja,Bunyole West County,Budumba,Mabale,VillageBwenge
Butaleja,Bunyole West County,Budumba,Mabale,VillageMabale
Butaleja,Bunyole West County,Budumba,Mabale,VillageNabuyanja
Butaleja,Bunyole West County,Budumba,Mabale,VillageNambiri
Butaleja,Bunyole West County,Budumba,Mabale,VillageNatooli
Butaleja,Bunyole West County,Budumba,Masanghe,VillageMasanghe
Butaleja,Bunyole West County,Budumba,Masanghe,VillageNanghunga
Butaleja,Bunyole West County,Budumba,Masanghe,VillageNawandagala
Butaleja,Bunyole West County,Budumba,Masanghe,VillageTambala
Butaleja,Bunyole West County,Busaba,Busaba,VillageBubuhe
Butaleja,Bunyole West County,Busaba,Busaba,VillageBudoba
Butaleja,Bunyole West County,Busaba,Busaba,VillageNamale
Butaleja,Bunyole West County,Busaba,Busaba,VillageWihala
Butaleja,Bunyole West County,Busaba,Buwihula,VillageBumwami A
Butaleja,Bunyole West County,Busaba,Buwihula,VillageBumwami B
Butaleja,Bunyole West County,Busaba,Buwihula,VillageBunghoma A
Butaleja,Bunyole West County,Busaba,Buwihula,VillageBunghoma B
Butaleja,Bunyole West County,Busaba,Buwihula,VillageKanyenya
Butaleja,Bunyole West County,Busaba,Mulagi,VillageHagulu
Butaleja,Bunyole West County,Busaba,Mulagi,VillageHahola
Butaleja,Bunyole West County,Busaba,Mulagi,VillageLwamboga
Butaleja,Bunyole West County,Busaba,Mulagi,VillageMulagi
Butaleja,Bunyole West County,Busaba,Mulagi,VillageMusitu
Butaleja,Bunyole West County,Busaba,Mulagi,VillageNagondo A
Butaleja,Bunyole West County,Busaba,Mulagi,VillageNagondo B
Butaleja,Bunyole West County,Busaba,Mulanga,VillageBufumi
Butaleja,Bunyole West County,Busaba,Mulanga,VillageBugisa
Butaleja,Bunyole West County,Busaba,Mulanga,VillageBugosa
Butaleja,Bunyole West County,Busaba,Mulanga,VillageBugwera
Butaleja,Bunyole West County,Busaba,Mulanga,VillageMulanga
Butaleja,Bunyole West County,Busaba,Mulanga,VillageMulisia
Butaleja,Bunyole West County,Busaba,Mulanga,VillageNahagulu A
Butaleja,Bunyole West County,Busaba,Mulanga,VillageNahagulu B
Butaleja,Bunyole West County,Busaba,Mulanga,VillageNahalondo
Butaleja,Bunyole West County,Busaba,Mulanga,VillageNamutumba
Butaleja,Bunyole West County,Busaba Town Council,Bumwami,VillageBumwami A
Butaleja,Bunyole West County,Busaba Town Council,Bumwami,VillageBumwami B
Butaleja,Bunyole West County,Busaba Town Council,Bumwami,VillageKikalu
Butaleja,Bunyole West County,Busaba Town Council,Bumwami,VillageNakabale
Butaleja,Bunyole West County,Busaba Town Council,Bumwami,VillageWanyundu
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageBugisa
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageBusaba A
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageBusaba B
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageBuwihula
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageLudodo
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageMadungha
Butaleja,Bunyole West County,Busaba Town Council,Busaba Ward,VillageNdubi
Butaleja,Bunyole West County,Busaba Town Council,Halanga Ward,VillageBusaba Township
Butaleja,Bunyole West County,Busaba Town Council,Halanga Ward,VillageHalanga
Butaleja,Bunyole West County,Busaba Town Council,Halanga Ward,VillageKasuleta
Butaleja,Bunyole West County,Busaba Town Council,Halanga Ward,VillageLubanga
Butaleja,Bunyole West County,Busaba Town Council,Halanga Ward,VillageNadome
Butaleja,Bunyole West County,Busaba Town Council,Halanga Ward,VillageTriangle
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageBugabania
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageBugali
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageBuwihula
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageBuyambi
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageLudodo
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageMwiha
Butaleja,Bunyole West County,Busaba Town Council,Mwiha,VillageMwiha Central
Butaleja,Bunyole West County,Busaba Town Council,Nawinyoha Ward,VillageNabwinyoha A
Butaleja,Bunyole West County,Busaba Town Council,Nawinyoha Ward,VillageNabwinyoha B
Butaleja,Bunyole West County,Busaba Town Council,Nawinyoha Ward,VillageNaswa
Butaleja,Bunyole West County,Busaba Town Council,Nawinyoha Ward,VillageWanga
Butaleja,Bunyole West County,Busaba Town Council,Nawinyoha Ward,VillageWanga B
Butaleja,Bunyole West County,Busabi,Bugegege,VillageBugegege
Butaleja,Bunyole West County,Busabi,Bugegege,VillageDumbu
Butaleja,Bunyole West County,Busabi,Bugegege,VillageFagga
Butaleja,Bunyole West County,Busabi,Bugegege,VillageMagoje
Butaleja,Bunyole West County,Busabi,Bugegege,VillageNamanda
Butaleja,Bunyole West County,Busabi,Bugegege,VillageNamutu
Butaleja,Bunyole West County,Busabi,Busabi,VillageBubali
Butaleja,Bunyole West County,Busabi,Busabi,VillageBusabi
Butaleja,Bunyole West County,Busabi,Busabi,VillageLubangwe
Butaleja,Bunyole West County,Busabi,Busabi,VillageMahuyu
Butaleja,Bunyole West County,Busabi,Busabi,VillageMalongo
Butaleja,Bunyole West County,Busabi,Busabi,VillageNjoli
Butaleja,Bunyole West County,Busabi,Buwesa,VillageBubada
Butaleja,Bunyole West County,Busabi,Buwesa,VillageBugangu
Butaleja,Bunyole West County,Busabi,Buwesa,VillageBuwesa
Butaleja,Bunyole West County,Busabi,Buwesa,VillageLwanda
Butaleja,Bunyole West County,Busabi,Buwesa,VillageMasolwa
Butaleja,Bunyole West County,Busabi,Habiga,VillageHabiga
Butaleja,Bunyole West County,Busabi,Habiga,VillageNamudunyo
Butaleja,Bunyole West County,Busabi,Habiga,VillageNamusole
Butaleja,Bunyole West County,Busabi,Malangha,VillageBugegere
Butaleja,Bunyole West County,Busabi,Malangha,VillageBulega
Butaleja,Bunyole West County,Busabi,Malangha,VillageMalangha
Butaleja,Bunyole West County,Busabi,Malangha,VillageMuhuyu
Butaleja,Bunyole West County,Busabi,Malangha,VillageNamake
Butaleja,Bunyole West County,Busabi,Manyamye,VillageBuliro
Butaleja,Bunyole West County,Busabi,Manyamye,VillageManyamye East
Butaleja,Bunyole West County,Busabi,Manyamye,VillageManyamye West
Butaleja,Bunyole West County,Busabi,Manyamye,VillageMulere
Butaleja,Bunyole West County,Busolwe,Bubalya,VillageBubalya  North
Butaleja,Bunyole West County,Busolwe,Bubalya,VillageBubalya  South
Butaleja,Bunyole West County,Busolwe,Bubalya,VillageBuhumi
Butaleja,Bunyole West County,Busolwe,Bubalya,VillageNamunyagwe Central
Butaleja,Bunyole West County,Busolwe,Bubalya,VillageNamunyagwe West
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageBudembe
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageBugona
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageBuhabeba
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageBusoni
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageHamira
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageMabale
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageNalugunjo
Butaleja,Bunyole West County,Busolwe,Buhabeba,VillageSihilo
Butaleja,Bunyole West County,Busolwe,Bunghumu,VillageBunghumu Central
Butaleja,Bunyole West County,Busolwe,Bunghumu,VillageBunghumu North
Butaleja,Bunyole West County,Busolwe,Bunghumu,VillageBunghumu South
Butaleja,Bunyole West County,Busolwe,Bunghumu,VillageBusoko-bughumu
Butaleja,Bunyole West County,Busolwe,Bunghumu,VillageMugulu-bughumu
Butaleja,Bunyole West County,Busolwe,Mugulu,VillageMugulu  Central
Butaleja,Bunyole West County,Busolwe,Mugulu,VillageMugulu  Mabale
Butaleja,Bunyole West County,Busolwe,Mugulu,VillageMugulu A
Butaleja,Bunyole West County,Busolwe,Mugulu,VillageMugulu Busooko
Butaleja,Bunyole West County,Busolwe,Mugulu,VillageMugulu Hisiro
Butaleja,Bunyole West County,Busolwe,Mugulu,VillageNabade
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Central Ward,VillageBusolwe Central
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Central Ward,VillageDundo
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Central Ward,VillageNandahabi
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Central Ward,VillageNapekere North
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Central Ward,VillageNapekere South
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Ward,VillageBugamwenge
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Ward,VillageBukede
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Ward,VillageBusolwe Hosp.
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Ward,VillageBusolwe North
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Ward,VillageBusolwe South
Butaleja,Bunyole West County,Busolwe Town Council,Busolwe Ward,VillageNakwiga
Butaleja,Bunyole West County,Busolwe Town Council,Nakwiga Ward,VillageHisiro
Butaleja,Bunyole West County,Busolwe Town Council,Nakwiga Ward,VillageNabagali
Butaleja,Bunyole West County,Busolwe Town Council,Nakwiga Ward,VillageNakwiga - Bunghumu
Butaleja,Bunyole West County,Busolwe Town Council,Nakwiga Ward,VillageZebra
Butaleja,Bunyole West County,Busolwe Town Council,Nawasu Ward,VillageMabale
Butaleja,Bunyole West County,Busolwe Town Council,Nawasu Ward,VillageNamuhungo
Butaleja,Bunyole West County,Busolwe Town Council,Nawasu Ward,VillageNamutego
Butaleja,Bunyole West County,Busolwe Town Council,Nawasu Ward,VillageNawasu
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageBakuma
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageBingo A
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageBingo B
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageBukala
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageHigoye
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageHitunga
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageNabaatu
Butaleja,Bunyole West County,Nawanjofu,Bingo,VillageNamadumwe
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageBubbinge A
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageBubbinge B
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageHachwali
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageHiriga
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageNabala A
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageNabala B
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageNawanjofu
Butaleja,Bunyole West County,Nawanjofu,Bubbinge,VillageWasu
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageBuhadyo
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageBuhigo A
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageBuhigo B
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageKisenyi
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageMadungha
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageNahibira A
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageNalulyanghombe
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageNawetaka
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageSomba A
Butaleja,Bunyole West County,Nawanjofu,Bugalo,VillageSomba B
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageLwamboga
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageMasaba
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageMasanghe
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageNabuyanja
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageNamahoho
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageNawalu
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageNejjungu
Butaleja,Bunyole West County,Nawanjofu,Masanghe,VillageSuni
Butambala,Butambala County,Budde,Budde,VillageKabuye - Bumbu
Butambala,Butambala County,Budde,Budde,VillageKabuye - Ntayi
Butambala,Butambala County,Budde,Budde,VillageKiyonsa/budde
Butambala,Butambala County,Budde,Budde,VillageKyabadaza/ntula
Butambala,Butambala County,Budde,Budde,VillageLusanja/bajjo
Butambala,Butambala County,Budde,Gwatiro,VillageButaayi
Butambala,Butambala County,Budde,Gwatiro,VillageButajja
Butambala,Butambala County,Budde,Gwatiro,VillageGwatiro Central
Butambala,Butambala County,Budde,Gwatiro,VillageKaweeri Kidinda
Butambala,Butambala County,Budde,Gwatiro,VillageMakulungo Kawalanzigo
Butambala,Butambala County,Budde,Kibugga,VillageBuligi
Butambala,Butambala County,Budde,Kibugga,VillageBunyeenye
